caption_loss,fc_loss,loss
4.59375,0.5,9.625
5.03125,0.52734375,10.3125
4.65625,0.5703125,10.375
4.59375,0.5390625,10.0
4.78125,0.6015625,10.75
4.9375,0.640625,11.375
4.8125,0.6875,11.6875
4.9375,0.453125,9.5
4.375,0.6328125,10.6875
4.96875,0.5703125,10.625
4.46875,0.71484375,11.625
4.4375,0.609375,10.5
4.84375,0.48828125,9.75
4.59375,0.498046875,9.5625
4.5625,0.53125,9.875
5.0,0.5703125,10.6875
4.75,0.671875,11.5
5.375,0.45703125,9.9375
4.78125,0.65625,11.375
4.65625,0.59765625,10.625
4.4375,0.6953125,11.375
4.9375,0.56640625,10.625
4.59375,0.609375,10.6875
4.65625,0.4609375,9.25
4.75,0.53515625,10.125
4.15625,0.5703125,9.875
4.5,0.53515625,9.875
4.75,0.5625,10.375
4.59375,0.64453125,11.0
4.71875,0.64453125,11.125
4.65625,0.57421875,10.375
4.53125,0.419921875,8.75
5.03125,0.59765625,11.0
4.375,0.53125,9.6875
4.65625,0.5390625,10.0
4.65625,0.52734375,9.9375
4.5625,0.5703125,10.25
4.46875,0.5703125,10.125
4.6875,0.49609375,9.625
4.875,0.45703125,9.4375
4.625,0.59765625,10.625
4.59375,0.443359375,9.0
4.375,0.455078125,8.9375
4.875,0.5234375,10.125
4.46875,0.71484375,11.625
4.46875,0.5625,10.125
4.625,0.52734375,9.875
4.5625,0.5234375,9.8125
4.53125,0.59375,10.5
4.90625,0.494140625,9.875
4.8125,0.5234375,10.0625
4.375,0.59765625,10.375
4.6875,0.484375,9.5
4.96875,0.375,8.75
4.28125,0.5234375,9.5
5.0,0.5625,10.625
4.875,0.4921875,9.8125
4.71875,0.60546875,10.75
4.75,0.4921875,9.6875
4.15625,0.60546875,10.25
4.90625,0.5234375,10.125
4.4375,0.52734375,9.75
4.78125,0.59765625,10.75
4.53125,0.48828125,9.375
4.5,0.5234375,9.75
4.75,0.609375,10.875
4.375,0.5546875,9.9375
4.375,0.5625,10.0
4.40625,0.59765625,10.375
4.59375,0.69140625,11.5
4.71875,0.6015625,10.75
4.3125,0.51953125,9.5
4.34375,0.6328125,10.625
4.375,0.6796875,11.1875
4.90625,0.61328125,11.0
4.40625,0.61328125,10.5
5.09375,0.4765625,9.875
4.59375,0.6015625,10.625
4.78125,0.6015625,10.75
4.375,0.482421875,9.1875
4.3125,0.515625,9.5
4.28125,0.5234375,9.5
4.0625,0.408203125,8.125
4.65625,0.60546875,10.75
4.6875,0.640625,11.125
5.09375,0.4765625,9.875
4.5,0.64453125,10.9375
4.46875,0.56640625,10.125
4.4375,0.59765625,10.375
4.65625,0.56640625,10.3125
4.65625,0.7109375,11.75
4.78125,0.60546875,10.875
4.65625,0.51953125,9.875
4.9375,0.56640625,10.625
4.625,0.5703125,10.3125
4.46875,0.59765625,10.4375
4.53125,0.482421875,9.375
4.3125,0.6015625,10.3125
4.71875,0.5703125,10.375
4.75,0.72265625,12.0
4.65625,0.68359375,11.5
4.4375,0.515625,9.625
4.40625,0.4375,8.75
4.46875,0.48046875,9.25
4.5625,0.490234375,9.5
4.1875,0.40234375,8.25
4.4375,0.640625,10.875
4.90625,0.59375,10.875
4.75,0.478515625,9.5
4.75,0.439453125,9.125
4.65625,0.59375,10.625
4.5625,0.64453125,11.0
4.5,0.48046875,9.3125
4.59375,0.640625,11.0
4.46875,0.64453125,10.875
4.65625,0.5234375,9.875
4.59375,0.51953125,9.75
4.4375,0.404296875,8.5
4.34375,0.59765625,10.3125
4.5,0.52734375,9.75
4.3125,0.546875,9.75
4.78125,0.57421875,10.5
4.6875,0.470703125,9.375
4.59375,0.4375,9.0
5.0,0.439453125,9.375
4.28125,0.478515625,9.0625
4.875,0.56640625,10.5
4.6875,0.3984375,8.6875
4.5,0.68359375,11.375
4.28125,0.65234375,10.8125
4.5,0.51171875,9.625
4.5,0.470703125,9.25
4.71875,0.5625,10.375
4.90625,0.48046875,9.75
4.21875,0.47265625,8.9375
4.5625,0.609375,10.625
4.375,0.51171875,9.5
4.46875,0.42578125,8.75
4.34375,0.48046875,9.125
4.59375,0.52734375,9.875
4.53125,0.47265625,9.25
4.3125,0.423828125,8.5625
4.25,0.6796875,11.0625
4.71875,0.5625,10.375
4.0625,0.68359375,10.875
4.875,0.6484375,11.375
4.375,0.64453125,10.8125
4.46875,0.515625,9.625
4.5,0.609375,10.625
4.96875,0.43359375,9.3125
4.78125,0.59765625,10.75
4.46875,0.466796875,9.125
4.5625,0.466796875,9.25
4.5625,0.55859375,10.125
4.0625,0.5625,9.6875
4.59375,0.51171875,9.75
4.65625,0.51171875,9.75
4.15625,0.59375,10.125
4.375,0.47265625,9.125
4.1875,0.5078125,9.25
4.46875,0.5859375,10.375
4.71875,0.431640625,9.0
4.40625,0.38671875,8.25
4.46875,0.64453125,10.875
4.1875,0.609375,10.25
