caption_loss,fc_loss,loss
5.40625,0.462890625,10.0
5.65625,0.431640625,10.0
5.25,0.51171875,10.375
5.375,0.5546875,10.9375
5.34375,0.4296875,9.625
5.3125,0.4609375,9.9375
5.53125,0.490234375,10.4375
5.3125,0.455078125,9.875
5.375,0.48828125,10.25
5.40625,0.490234375,10.3125
5.4375,0.486328125,10.3125
5.28125,0.458984375,9.875
4.9375,0.51953125,10.125
5.84375,0.54296875,11.25
5.5,0.478515625,10.25
5.1875,0.55078125,10.6875
5.3125,0.578125,11.125
5.46875,0.4140625,9.625
5.21875,0.486328125,10.125
5.53125,0.4453125,10.0
5.03125,0.44921875,9.5
5.53125,0.48046875,10.375
5.75,0.54296875,11.1875
5.28125,0.609375,11.375
5.25,0.451171875,9.75
5.40625,0.48046875,10.25
5.28125,0.474609375,10.0
5.25,0.482421875,10.0625
5.40625,0.48046875,10.25
5.0625,0.51171875,10.1875
5.25,0.412109375,9.375
5.5,0.51171875,10.625
5.25,0.4765625,10.0
5.15625,0.412109375,9.25
5.5625,0.578125,11.375
5.09375,0.439453125,9.5
5.4375,0.57421875,11.1875
5.46875,0.609375,11.5625
5.375,0.43359375,9.75
5.3125,0.5390625,10.6875
5.25,0.404296875,9.25
5.4375,0.470703125,10.125
5.625,0.5078125,10.6875
5.59375,0.4765625,10.375
5.03125,0.48046875,9.875
5.25,0.51171875,10.375
5.46875,0.431640625,9.75
5.5,0.466796875,10.125
5.0625,0.5078125,10.125
5.5,0.578125,11.25
5.3125,0.40625,9.375
5.625,0.48046875,10.4375
5.5,0.43359375,9.875
5.25,0.47265625,10.0
5.15625,0.474609375,9.875
5.34375,0.439453125,9.75
4.96875,0.578125,10.75
5.28125,0.54296875,10.75
5.34375,0.3984375,9.3125
5.21875,0.431640625,9.5
5.46875,0.54296875,10.875
5.125,0.396484375,9.125
5.40625,0.427734375,9.6875
5.21875,0.43359375,9.5625
4.71875,0.43359375,9.0625
5.34375,0.6171875,11.5
5.15625,0.54296875,10.625
5.0625,0.39453125,9.0
5.53125,0.58203125,11.375
4.9375,0.4296875,9.25
5.34375,0.388671875,9.25
5.3125,0.462890625,9.9375
5.4375,0.46484375,10.125
4.96875,0.421875,9.1875
5.125,0.427734375,9.375
5.4375,0.5390625,10.8125
5.25,0.49609375,10.25
5.46875,0.423828125,9.75
5.4375,0.458984375,10.0
5.3125,0.53515625,10.625
5.125,0.5078125,10.1875
5.0625,0.45703125,9.625
4.71875,0.45703125,9.25
5.28125,0.423828125,9.5
5.21875,0.3828125,9.0625
5.0,0.4609375,9.625
5.15625,0.45703125,9.75
5.46875,0.494140625,10.375
5.1875,0.49609375,10.125
5.34375,0.419921875,9.5
4.9375,0.45703125,9.5
5.09375,0.56640625,10.75
4.84375,0.4609375,9.5
5.15625,0.458984375,9.75
4.96875,0.4921875,9.875
5.125,0.3828125,8.9375
5.0,0.49609375,10.0
5.125,0.453125,9.625
5.3125,0.45703125,9.875
5.09375,0.45703125,9.625
4.9375,0.53125,10.25
5.25,0.375,9.0
5.34375,0.412109375,9.5
4.875,0.494140625,9.8125
5.21875,0.41796875,9.375
5.3125,0.490234375,10.25
5.125,0.498046875,10.125
4.71875,0.44921875,9.25
5.03125,0.53125,10.375
5.375,0.486328125,10.25
5.3125,0.451171875,9.8125
5.09375,0.486328125,10.0
5.0,0.44921875,9.5
5.0,0.4921875,9.9375
5.0625,0.3671875,8.75
5.21875,0.404296875,9.25
5.125,0.453125,9.625
5.0,0.369140625,8.6875
5.0,0.52734375,10.25
4.75,0.48828125,9.625
5.03125,0.56640625,10.6875
5.03125,0.52734375,10.3125
5.125,0.4453125,9.5625
5.28125,0.447265625,9.75
5.125,0.5234375,10.375
4.875,0.447265625,9.375
5.375,0.56640625,11.0
5.03125,0.40234375,9.0625
4.9375,0.4453125,9.375
4.9375,0.36328125,8.5625
5.1875,0.4921875,10.125
5.09375,0.5234375,10.375
5.0,0.443359375,9.4375
4.875,0.447265625,9.375
5.15625,0.4453125,9.625
4.9375,0.53125,10.25
5.0625,0.40234375,9.125
4.90625,0.40234375,8.9375
